题目,简介,作者,出版社,日期,关键字
机器学习在地球物理勘探中铀矿资源勘查的应用研究进展  CNKI文献,2006年，Hinton[1]等提出的深度置信网络开启了人工智能的机器学习时代。此后，人工智能技术在各行业不断取得突破，如在自动驾驶、语音助手、语音识别和翻译、智能推荐、智能搜索和手写识别及医学等领域均取得了巨大进展。随着人工智能技术的快速发展，尤其是机器学习方法的广泛应用，极大地促进了智能化物探领域的发展。目前，机器学习AI技术广泛应用于物探领域，为地球物理学...,韩世礼 肖健 柳位,《铀矿地质》,2024年03期,"关键词：机器学习 / 放射性勘探 / 地球物理测井 / 成矿预测
下载（327）|被引（1）"
网络异常检测中机器学习的应用  CNKI文献,0 引言 本研究的意义在于深入探讨机器学习在网络安全中的作用，以提供有效应对网络威胁的解决方案。异常检测、入侵检测和恶意软件检测等领域的研究，能够展现机器学习技术在提高网络安全性能和防御能力方面的潜力。这将为构建更智能、更自适应的网络安全系统提供重要参考，以帮助保护个人信息，维护网络环境的稳定与安全。 1 异常检测概述 1.1 异常检测概述 在网络安全领域，异常检测...,孙瑾,《信息与电脑(理论版)》,2024年09期,"关键词：机器学习 / 网络安全 / 异常检测 / 防御
下载（23）|被引（0）"
典型有机化学品的人体致癌毒性和内分泌干扰毒性的机器学习分类与回归模型预测  CNKI文献,吉林大学 新能源与环境学院 硕士 2024 X32 典型有机化学品的人体致癌毒性和内分泌干扰毒性的机器学习分类与回归模型预测 Machine Learning Classification and Regression Model Prediction of Human Carcinogenic and Endocrine Disruptive Toxicity of Typical ...,郝宁 导师:赵文晋,中国优秀硕士学位论文全文数据库, 2024-05-01 ,"关键词：机器学习 / 有机化学品 / 致癌性 / 内分泌干扰性
下载（86）|被引（0）"
基于机器学习的黄土高原沟壑区小流域水热碳过程模拟  CNKI文献,西安理工大学 硕士 2024 基于机器学习的黄土高原沟壑区小流域水热碳过程模拟 Modeling of the Processes of Water-heat-carbon Based on Machine Learning in a Gually Watershed on Loess Plateau 邓炜 刘登峰 水文学及水资源 土壤湿度、土壤温度、河水温度以及二氧化碳浓度都是水...,邓炜 导师:刘登峰,中国优秀硕士学位论文全文数据库, 2024-06-30 ,"关键词：黄土高原 / 土壤湿度 / 土壤温度 / 河水温度
下载（50）|被引（0）"
机器学习在识别和预测创伤后应激障碍中的应用  CNKI文献,中国人民解放军海军军医大学 硕士 2024 机器学习在识别和预测创伤后应激障碍中的应用 The Application of Machine Learning in Identifying and Predicting Posttraumatic Stress Disorder 王兢 刘伟志；尚志蕾 应用心理（专业学位） 刘旭峰 目的: 创伤后应激障碍(Posttraumati...,王兢 导师:刘伟志;尚志蕾,中国优秀硕士学位论文全文数据库, 2024-05-01 ,"关键词：机器学习 / 创伤后应激障碍 / 识别 / 预测
下载（166）|被引（0）"
机器学习在土壤污染识别中的应用研究进展  CNKI文献,土壤作为人类赖以生存的重要自然资源，由于工农业生产的迅速发展，不可避免地受到了被污染的威胁。预测、识别和评估土壤污染对环境和人类健康至关重要。在土壤污染研究中，特别是在处理土壤重金属污染时，传统的研究方法主要通过监测土壤中的重金属含量来进行。通常，研究人员会在特定区域进行布点采样，将采集的样品带回实验室进行理化实验检测。检测内容主要包括样品中的重金属元素含量，结合相关的地统计方法构建模型，利用污染...,傅嘉辉 陈云 王丽娜 石佳奇 韦婧 刘雪岩 张红燕,《湖南师范大学自然科学学报》,2024年05期,"关键词：机器学习 / 土壤污染 / 重金属 / 风险评估
下载（0）|被引（0）"
基于机器学习的电催化氧化水处理技术前瞻性LCA与过程逆向设计  CNKI文献,第 1 章 绪 论 - 1 - 第 1 章 绪 论 1.1 课题背景 本课题来源于国家自然科学基金优秀青年基金项目“废水电化学处理理论 与方法”（项目号：51822806）的支持。 近年来，水资源的紧缺和水污染问题已经成为全球范围内备受关注的重要 问题之一[1]。同时，为了减少对环境的影响和实现可持续发展，绿色能源和清 洁技术已成为许多国家和地区的政策目标。电催化...,孙叶 导师:尤世界,中国博士学位论文全文数据库, 2023-05-01 ,"关键词：电催化氧化 / 废水处理 / 生命周期评价 / 机器学习
下载（118）|被引（0）"
基于机器学习的回归技术及理论研究  CNKI文献,"华东师范大学 博士 2024 O212.1 基于机器学习的回归技术及理论研究 Research on Regression Techniques and Theories Based on Machine Learning 邱锐 於州 统计学 统计机器学习 朱仲义 随着人工智能时代的来临,回归技术作为一种强大的统计工具,在解释变量之间关系的同时,在机器学习的预测任务中也扮演着...",邱锐 导师:於州,中国博士学位论文全文数据库, 2024-03-01 ,"关键词：神经网络 / 随机森林 / 充分降维 / 度量空间
下载（82）|被引（0）"
TiO_2光催化降解污染物的机器学习预测  CNKI文献,"重庆理工大学 理学院 硕士 2024 TiO_2光催化降解污染物的机器学习预测 Machine Learning Prediction of TiO_2 Photocatalytic Degradation of Pollutants 唐容 刘雪芹；魏大鹏 电子信息（专业学位） 光催化的机器学习预测 能源短缺和水资源污染成为全球关注的问题,光催化降解技术由于其环境友好、高效率、...",唐容 导师:刘雪芹;魏大鹏,中国优秀硕士学位论文全文数据库, 2024-03-23 ,"关键词：降解污染物 / TiO_2光催化 / 机器学习 / XGBoost
下载（136）|被引（0）"
基于机器学习的X企业智能成本控制研究  CNKI文献,"重庆理工大学 会计学院 硕士 2024 基于机器学习的X企业智能成本控制研究 Research on Intelligent Cost Control of X Enterprise Based on Machine Learning 邓佳红 程平；戴晓红 会计硕士（专业学位） AICFO 随着大数据、人工智能等新兴技术的快速发展,企业成本控制智能化趋势已势不可挡,传统的成本控...",邓佳红 导师:程平;戴晓红,中国优秀硕士学位论文全文数据库, 2024-03-22 ,"关键词：污水处理企业 / 机器学习 / 智能成本控制 / 药耗成本
下载（108）|被引（0）"
基于同态加密的机器学习隐私保护算法研究  CNKI文献,"曲阜师范大学 计算机学院 硕士 2024 基于同态加密的机器学习隐私保护算法研究 张文丹 孙玉红 电子信息（专业学位） 近年来,机器学习与云计算的迅猛发展使得在云服务平台上执行大规模机器学习任务成为一种可行的解决方案。因为机器学习需要大量的数据信息进行训练,而云服务器提供了强大的计算服务能力,越来越多的用户开始选择使用基于云平台的机器学习方法来执行训练任务。然而,将数据直接传输到云...",张文丹 导师:孙玉红,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：机器学习 / 部分同态加密 / 隐私保护 / 格式检查
下载（115）|被引（0）"
机器学习驱动的盾构隧道施工地表沉降预测和控制研究  CNKI文献,广州大学 硕士 2024 机器学习驱动的盾构隧道施工地表沉降预测和控制研究 Research on Surface Settlement Prediction and Control in Shield Tunnel Construction Driven by Machine Learning 王泽盼 刘超 土木工程（专业学位） 隧道智能建造 盾构施工引起的地表沉降是一个受多种...,王泽盼 导师:刘超,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：盾构隧道 / 机器学习 / 模型解释 / 沉降预测
下载（85）|被引（0）"
基于机器学习方法对细颗粒物污染成因的研究  CNKI文献,南开大学 环境科学与工程学院 硕士 2022 基于机器学习方法对细颗粒物污染成因的研究 Research on the Causes of Fine Particulate Pollution Based on Machine Learning Methods 张忠诚 史国良 环境工程（专业学位） 大气污染防治 李岳；张霖琳 毕晓辉 环境中高浓度的PM_(2.5)会造成环境...,张忠诚 导师:史国良,中国优秀硕士学位论文全文数据库, 2022-05-01 ,"关键词：机器学习 / PM_(2.5) / 二次无机颗粒物 / PMF
下载（100）|被引（0）"
非线性机器学习对沪深300指数价格预测的研究  CNKI文献,"上海财经大学 商学院 硕士 2022 非线性机器学习对沪深300指数价格预测的研究 A Study of Nonlinear Machine Learning on the Price Prediction of CSI 300 Index 陆佳毓 谢天 工商管理（专业学位） 目前机器学习是科学发展的趋势,已经在各行各业中得以有效利用,特别是它的大数据分析能力可以有效分解特定目标...",陆佳毓 导师:谢天,中国优秀硕士学位论文全文数据库, 2022-09-17 ,"关键词：机器学习 / ARIMA / LSTM / 价格预测
下载（12）|被引（0）"
机器学习辅助高通量计算筛选MOFs用于化学战剂的捕获  CNKI文献,广州大学 硕士 2024 机器学习辅助高通量计算筛选MOFs用于化学战剂的捕获 Machine Learning-assisted High-throughput Computational Screening of MOFs for Chemical Warfare Agent Capture 王雯菲 刘芝婷 化学工程（专业学位） 材料AI设计与计算 化学战剂(Chemical...,王雯菲 导师:刘芝婷,中国优秀硕士学位论文全文数据库, 2024-05-01 ,"关键词：金属-有机框架 / 化学战剂 / 分子模拟 / 机器学习
下载（40）|被引（0）"
基于机器学习的土壤硝态氮分布预测  CNKI文献,"河南农业大学 硕士 2024 基于机器学习的土壤硝态氮分布预测 Prediction of Soil Nitrate Nitrogen Distribution Based on Machine Learning 陈辉 刘建伟 农业硕士（专业学位） 农村面源污染 土壤硝态氮作为植物生长的重要氮源,在农业生产中扮演着至关重要的角色。然而,其过量积累可能导致环境污染和生态风险,因此其...",陈辉 导师:刘建伟,中国优秀硕士学位论文全文数据库, 2024-05-01 ,"关键词：土壤硝态氮 / 土壤pH / 特征重要性 / 机器学习
下载（92）|被引（0）"
基于机器学习的304不锈钢组织性能预报  CNKI文献,"太原科技大学 机械工程学院 硕士 2024 TG335 基于机器学习的304不锈钢组织性能预报 Prediction of Microstructure and Properties of 304 Stainless Steel Based on Machine Learning 樊鹏飞 姬亚锋 机械（专业学位） 南伟杰 随着工业化和城市化进程的加速,以及人们对于材料品质要求...",樊鹏飞 导师:姬亚锋,中国优秀硕士学位论文全文数据库, 2024-05-01 ,"关键词：不锈钢 / 机器学习 / 组织性能预测 / 晶体塑形有限元
下载（97）|被引（0）"
面向区域滑坡易发性制图的机器学习方法集成研究  CNKI文献,"成都理工大学 硕士 2022 面向区域滑坡易发性制图的机器学习方法集成研究 Integration of Machine Learning Methods for Regional Landslide Susceptibility Mapping 魏槊友 杨容浩；孙振勇 测绘工程（专业学位） 滑坡作为我国发生最频繁的灾害之一,对国家的经济发展、社会和谐稳定和人民的生命财产安全都造成...",魏槊友 导师:杨容浩;孙振勇,中国优秀硕士学位论文全文数据库, 2022-04-22 ,"关键词：区域滑坡易发性制图 / 机器学习 / 集成学习 / 卷积神经网络
下载（10）|被引（0）"
铁基合金耐蚀性能的研究  CNKI文献,广州大学 硕士 2024 铁基合金耐蚀性能的研究 Research on the Corrosion Resistance of Ferrous Alloys 密度泛函理论计算与机器学习相结合的探索 An Exploration Combining Density Functional Theory Calculations and Machine Learning 陈尤 乔智威；...,陈尤 导师:乔智威;王海涛,中国优秀硕士学位论文全文数据库, 2024-05-01 ,"关键词：铁基合金 / 腐蚀 / 密度泛函理论 / 机器学习
下载（33）|被引（0）"
基于机器学习的预应力混凝土梁裂缝宽度控制方法研究  CNKI文献,第一章 绪论 1 第一章 绪论 1.1 研究背景及意义 预应力混凝土是指通过预先施加张拉力（即预应力）的方法，在混凝土中产生压应 力来抵消全部或者部分外荷载产生的应力，降低混凝土承受的拉应力，因此构件在使用 荷载作用下能够不开裂、推迟开裂、或者减小裂缝开展的宽度[1]。与普通混凝土相比， 预应力混凝土主要有以下三点优势。第一，节约工程材料，经济性好。对于大跨度、重 荷载、裂缝...,柳东森 导师:吴京,中国优秀硕士学位论文全文数据库, 2023-05-24 ,"关键词：机器学习 / 预应力混凝土梁 / 裂缝宽度 / 模型解释
下载（25）|被引（0）"
机器学习结合生物信息学的胃癌关键基因选择研究  CNKI文献,机器学习结合生物信息学的胃癌关键基因选择研究 5 中英文缩略词表 缩写词 英文全称 中文全称 RF Random forest 随机森林 SVM-RFE Recursive feature elimination by support vector machine 支持向量机递归特征消除 LASSO Least absolute shrinkage and selecti...,王泽朋 导师:李四海,中国优秀硕士学位论文全文数据库, 2024-03-01 ,"关键词：胃癌 / 特征筛选 / 关键基因 / 分类模型
下载（50）|被引（0）"
机器学习中基于同态加密的隐私保护技术研究  CNKI文献,第一章 绪论 第一章 绪 论 本章将从机器学习技术与同态加密技术出发对本文的背景与研究意义、国内 外的研究现状以及本工作的贡献与创新进行概述。 1.1 本文的背景与意义 随着大数据技术的兴起与发展，个人数据与企业数据的隐私保护变得日渐重 要。在信息时代，不仅是个人对于隐私保护技术的关注度不断增加，企业对于数 据隐私保护的需求也不断增长。同时近年来随着机器学习技术的崛起，诸如金融、 ...,刘健智 导师:李善仓,中国优秀硕士学位论文全文数据库, 2024-04-15 ,"关键词：机器学习 / 神经网络 / 隐私保护 / 同态加密
下载（34）|被引（0）"
机器学习在因果推断中的应用  CNKI文献,机器学习具有强大的模型外线性和非线性预测能力， 其侧重于关联， 在疾病风险预测、 诊断和预后等方面得到广泛应用[1]。因果推断具有良好的推理能力和可解释性， 侧重于因果关系。机器学习和因果推断在早期并无太大联系， 甚至在某些情况下， 二者存在矛盾。进入大数据时代后， 由于传统的因果推断方法侧重于二维变量， 如果直接应用于高维数据， 有可能会影响因果推断的准确性， 甚至无法运...,王星 吴亚飞 方亚,《中国卫生统计》,2024年02期,"关键词：机器学习 / 因果推断 / 因果模型
下载（643）|被引（0）"
机器学习预测脑卒中病人日常生活活动能力的研究进展  CNKI文献,脑卒中是一种急性脑血管疾病，由于脑血管病变引起脑功能障碍，是全球致死、致残的首要原因。我国脑卒中筛查数据显示，城市和农村居民的脑血管病的发病率分别为203.6/10万和298.2/10万，死亡率分别为128.88/10万和160.19/10万[1]。随着人口老龄化和城市化进程加速，发生脑卒中的危险因素仍在逐年增长，给社会带来沉重的负担。脑卒中发病率呈年轻化趋势[2]，为了提高临床对脑卒中的识别和诊...,李贤 马秀芝,《护理研究》,2024年08期,"关键词：脑卒中 / 机器学习 / 日常生活活动能力 / 信息化管理
下载（1250）|被引（0）"
基于机器学习的材料设计  CNKI文献,"材料科学是一门与工程技术密不可分的应用科学,主要研究材料的合成、性能、结构和应用.从古至今,材料的发现和创新一直是人类文明进步的重要驱动力.当代社会,现代科技和工业对于新型、高性能材料的需求与日俱增,材料科学的重要性日益凸显.材料科学的发展为科技生活注入了新的活力,如高性能轻质金属材料、新型钙钛矿材料、高温超导材料、半导体材料等,在能源、通信、交通、医疗等各领域都发挥着重要作用[1].在过去几十年...",陆文聪 吴炎淼 刘太昂 卢天 纪晓波 邢雷凯,《河南师范大学学报(自然科学版)》,2024年04期,"关键词：机器学习 / 材料设计 / 配方优化
下载（1284）|被引（0）"
基于机器学习的岩土工程优化应用研究  CNKI文献,0 引言 岩土工程是一项保障人民日常生活的业务，通过将机器学习应用于岩土工程中，可以有效地分析、评测、整合并准确地预测岩土参数，能够极大地提升岩土工程的施工质量，确保其能够按时完工，推动岩土工程健康发展。 1 机器学习在岩土工程中应用研究的基本概念和背景 机器学习是指计算机通过分析数据库中的数据，总结归纳数据运行变化的规律，将其规律固定到模型中，模型具有推...,徐全善 祝毓萍 查治洲,《江苏通信》,2024年02期,"关键词：机器学习 / 岩土工程 / 应用研究
下载（117）|被引（0）"
基于机器学习的无Ni超弹性钛合金成分设计  CNKI文献,1绪论 i m 1.1研宄背景 金属材料的超弹性是指材料在卸载时表现出的显著可恢复应变，这种现象通常由 应力诱导的可逆马氏体相变驱动。超弹性和形状记忆合金都可以提供大变形和大作用 力，从而为微创外科手术提供坚固稳定的手术装置，特别适用于机械操作困难而加热 方便的温度驱动装置，更重要的是，其具备良好的耐蚀性能、低毒性和生物相容性， 因此，它可以用于植入人体，例如支架、钉子和缝合线，而不...,陈浩东 导师:于洋,中国优秀硕士学位论文全文数据库, 2024-05-06 ,"关键词：机器学习 / 钛合金 / 超弹性能 / 显微组织
下载（45）|被引（0）"
新型四元半导体电子结构特性的机器学习和第一性原理研究  CNKI文献,南京理工大学 硕士 2022 新型四元半导体电子结构特性的机器学习和第一性原理研究 ML and First-principles Simulation of Electronic Structural Properties for Novel Quaternary Semiconductors 高梦伟 曾海波 材料与化工（专业学位） 四元半导体光电材料 过去的几十年里随着国家对...,高梦伟 导师:曾海波,中国优秀硕士学位论文全文数据库, 2022-12-01 ,"关键词：四元半导体 / 光电材料 / 机器学习 / 带隙预测
下载（28）|被引（0）"
机器学习联合遗传算法策略下的高性能Cu-Ni-Co-Si合金设计  CNKI文献,太原科技大学 材料科学与工程学院 硕士 2024 TG146.11;TP181 机器学习联合遗传算法策略下的高性能Cu-Ni-Co-Si合金设计 Design of High-performance Cu-Ni-Co-Si Alloy with Machine Learning Joint Genetic Algorithm Strategy 张英凡 党淑娥；陈娟 材料科学与工程...,张英凡 导师:党淑娥;陈娟,中国优秀硕士学位论文全文数据库, 2024-04-10 ,"关键词：Cu-Ni-Co-Si / 机器学习 / 遗传算法 / 冷轧变形
下载（52）|被引（0）"
基于机器学习的互联网小额信贷授信风险问题研究  CNKI文献,"西南石油大学 硕士 2022 C93 基于机器学习的互联网小额信贷授信风险问题研究 陈俊安 张恒汝 工程管理硕士（专业学位） 风险管理 近年来,互联网金融业务在国内逐渐兴起,为了能够更好地服务于客户,商业银行信贷业务也不例外地朝着互联网方向大力发展,形成新的互联网信贷行业领域。在这样的趋势下,互联网信贷的风险也随之产生,信贷风险管理是该领域主要的研究内容之一。本文的研究内容是将机...",陈俊安 导师:张恒汝,中国优秀硕士学位论文全文数据库, 2022-10-01 ,"关键词：机器学习 / 小额信贷 / 风控模型 / 信用评分卡
下载（11）|被引（0）"
基于OBE和德育教育的机器学习课程探索与实践  CNKI文献,引言 机器学习作为人工智能领域的一个关键分支，已经成为推动技术革新和产业变革的重要力量。在大数据技术的推动下，机器学习算法和模型处理大规模数据集的能力得到了显著提升，这从推荐系统到自动驾驶汽车，从语音识别到图像处理，机器学习都扮演着核心角色。预计在未来十年，掌握机器学习的基础理论和方法将成为大多数工程技术人员必备的技能。开设机器学习课程...,张俊丽,《中国多媒体与网络教学学报(上旬刊)》,2024年04期,"关键词：机器学习 / OBE教学理念 / 德育教育
下载（45）|被引（0）"
机器学习场景下的数据安全与隐私保护技术研究  CNKI文献,第一章 绪论 第一章 绪 论 1.1 研究工作的背景与意义 从 Alpha Go[1]的突破到 Chat GPT[2–5]的发展，人工智能作为新一轮科技革命和 产业变革的先锋，正在从根本上改变人们处理和分析数据的方式。全球各大国家 纷纷将占据人工智能制高点视为夺取科技优势的核心策略，推动了人工智能向着 技术快速创新和应用广泛的新时代迈进。在这一背景下，众多创新产品如自动驾 驶、智能安...,刘小源 导师:李洪伟,中国博士学位论文全文数据库, 2024-03-25 ,"关键词：机器学习 / 分布式框架 / 特征提取 / 隐私保护技术
下载（176）|被引（0）"
TiO_2光催化降解污染物的机器学习预测  CNKI文献,"重庆理工大学 理学院 硕士 2024 TiO_2光催化降解污染物的机器学习预测 Machine Learning Prediction of TiO_2 Photocatalytic Degradation of Pollutants 唐容 刘雪芹；魏大鹏 电子信息（专业学位） 光催化的机器学习预测 能源短缺和水资源污染成为全球关注的问题,光催化降解技术...",唐容 导师:刘雪芹;魏大鹏,中国优秀硕士学位论文全文数据库, 2024-03-23 ,"关键词：降解污染物 / TiO_2光催化 / 机器学习 / XGBoost
下载（136）|被引（0）"
大数据下基于机器学习的企业预算管理研究  CNKI文献,重庆理工大学 会计学院 硕士 2024 大数据下基于机器学习的企业预算管理研究 Research on Budget Management of Enterprises Based on Machine Learning under Big Data 以ABC公司为例 Take ABC Company as an Example 谭果君 程平；兰福生 会计（专业学位...,谭果君 导师:程平;兰福生,中国优秀硕士学位论文全文数据库, 2024-03-22 ,"关键词：预算管理 / 大数据 / 机器学习
下载（195）|被引（0）"
基于机器学习的X企业智能成本控制研究  CNKI文献,"重庆理工大学 会计学院 硕士 2024 基于机器学习的X企业智能成本控制研究 Research on Intelligent Cost Control of X Enterprise Based on Machine Learning 邓佳红 程平；戴晓红 会计硕士（专业学位） AICFO 随着大数据、人工智能等新兴技术的快速发展,企业成本控制智能化趋势已势不可挡,...",邓佳红 导师:程平;戴晓红,中国优秀硕士学位论文全文数据库, 2024-03-22 ,"关键词：污水处理企业 / 机器学习 / 智能成本控制 / 药耗成本
下载（108）|被引（0）"
泌尿系统肿瘤预后模型构建及机器学习方法研究  CNKI文献,第一章 绪论 1 第一章 绪论 1.1 研究工作的背景与意义 泌尿系统肿瘤指发生于泌尿系统任意部位的肿瘤。如肾盂、输尿管、膀胱、 尿道等部位的肿瘤皆称为泌尿系统肿瘤。在全球范围内，膀胱癌（Bladder Cancer， BC）是全球第十大常见癌症和第 13 大癌症相关死亡原因，每年有近 54.9 万例新 发病例和 20 万例死亡[1]。尽管有多种治疗方式，BC 患者的总生存率仍然很低...,方昱衡 导师:李科,中国优秀硕士学位论文全文数据库, 2024-03-22 ,"关键词：机器学习 / COX回归 / 预后模型 / 可解释性
下载（30）|被引（0）"
基于机器学习的S企业战略资产管理研究  CNKI文献,"重庆理工大学 会计学院 硕士 2024 基于机器学习的S企业战略资产管理研究 Research on Strategic Asset Management of S Enterprise Based on Machine Learning 刘泓 程平 会计硕士（专业学位） 大数据及人工智能财务 随着新一代信息智能技术如大数据和人工智能的迅猛发展,战略资产管理正迎来新...",刘泓 导师:程平,中国优秀硕士学位论文全文数据库, 2024-03-20 ,"关键词：战略资产管理 / 机器学习 / 水务企业
下载（91）|被引（0）"
基于机器学习的上市公司财务状况质量评价研究  CNKI文献,"重庆理工大学 硕士 2024 基于机器学习的上市公司财务状况质量评价研究 Research on Quality Evaluation of Financial Status of Listed Companies Based on Machine Learning 邓湘煜 程平 会计学 会计信息化 随着大数据、人工智能等新一代信息技术的发展,各行各业都在积极探索如何...",邓湘煜 导师:程平,中国优秀硕士学位论文全文数据库, 2024-03-20 ,"关键词：财务状况质量评价 / 企业画像 / 机器学习
下载（211）|被引（0）"
基于机器学习的供水目标成本智能管理研究  CNKI文献,重庆理工大学 会计学院 硕士 2024 基于机器学习的供水目标成本智能管理研究 A Study on Intelligent Management of Water Supply Target Cost Based on Machine Learning 以Z水务企业为例 Taking Z Water Utility Company as an Example 朱思懿 ...,朱思懿 导师:程平;王会然,中国优秀硕士学位论文全文数据库, 2024-03-16 ,"关键词：目标成本管理 / BP神经网络 / 数据仓库
下载（80）|被引（0）"
基于机器学习的L污水处理企业智能成本预警研究  CNKI文献,重庆理工大学 会计学院 硕士 2024 基于机器学习的L污水处理企业智能成本预警研究 Research on Intelligent Cost Early Warning of L Sewage Treatment Enterprises Based on Machine Learning 李宛霖 程平；王宏波 会计硕士（专业学位） 大数据与人工智能财务 随着智能化...,李宛霖 导师:程平;王宏波,中国优秀硕士学位论文全文数据库, 2024-03-15 ,"关键词：污水处理企业 / 大数据 / 智能成本预警 / 数据仓库
下载（99）|被引（0）"
基于机器学习的加密代理类流量识别与分类技术研究  CNKI文献,第一章 绪论 第一章 绪 论 1.1 课题背景与研究意义 随着互联网技术不断发展，各类应用程序应运而生，网络用户数量也迅速增 加。中国互联网信息中心[1]的第 52 次统计报告指出，国内的网民规模已达 10.79 亿，互联网普及率高达 76.4%，数字基础建设进一步加速，各类应用的用户规模也 呈现增长趋势，使得互联网成为了人民生活中不可或缺的一部分。为了确保用户 隐私并提升用户数据的...,周楠馨 导师:李玉军,中国优秀硕士学位论文全文数据库, 2024-03-15 ,"关键词：加密代理类流量 / 流量识别 / 业务分类 / 机器学习
下载（61）|被引（0）"
机器学习赋能的优化算法及其在新型电力系统中的应用与展望  CNKI文献,0引言 随着全球气候变化、环境污染问题日益严峻，传统以化石燃料为主要能源的发电系统正面临着巨大挑战。为尽早实现“碳达峰、碳中和”重要战略目标，关键举措之一便是构建新型电力系统。《“十四五”现代能源体系规划》提出构建以新能源为主体的新型电力系统，推动电力系统向适应大规模高比例新能源方向演进。新型电力系统可以通过数字化技术有效地整合可再生能源以及分布式储能系统，是实现能源清洁和国民经济可持续发展的重...,王新迎 闫冬 施展 张东霞 邓琪 林振炜,《中国电机工程学报》,2024年16期,"关键词：机器学习 / 新型电力系统 / 人工智能 / 优化算法
下载（2313）|被引（3）"
基于机器学习的创造性思维脑电信号分类  CNKI文献,"曲阜师范大学 心理学院 硕士 2024 基于机器学习的创造性思维脑电信号分类 高慧 刘春雷 基础心理学 创造力是促进人类文明繁荣发展、推动科技迭代更新的高级认知功能。作为创造力在认知层面的体现,创造性思维涉及复杂的认知基础和神经机制。脑电图(electroencephalogram,EEG)作为一种低成本、高时间分辨率的神经成像技术,为研究者提供了深入研究创造性思维的机...",高慧 导师:刘春雷,中国优秀硕士学位论文全文数据库, 2024-03-07 ,"关键词：创造性思维 / 机器学习 / 脑电图 / 支持向量机
下载（71）|被引（0）"
基于机器学习的回归技术及理论研究  CNKI文献,"华东师范大学 博士 2024 O212.1 基于机器学习的回归技术及理论研究 Research on Regression Techniques and Theories Based on Machine Learning 邱锐 於州 统计学 统计机器学习 朱仲义 随着人工智能时代的来临,回归技术作为一种强大的统计工具,在解释变量之间关系的同时,在~#...",邱锐 导师:於州,中国博士学位论文全文数据库, 2024-03-01 ,"关键词：神经网络 / 随机森林 / 充分降维 / 度量空间
下载（82）|被引（0）"
