题目,简介,作者,出版社,日期,关键字
锂电池故障检测与机器学习算法应用  CNKI文献,0 引言 在医用电气设备中，采用锂电池作为能源已成为趋势。然而，由于电池的物理特性和工作环境的复杂性，锂电池故障可能会导致设备的性能下降甚至故障。因此，开发一种高效且准确的锂电池故障检测方法具有重要意义。机器学习算法具有适应性强、自动化程度高等特点，在故障检测领域展现出潜力。 1 研究背景 锂电池在医用电气设备中的应用。锂电池在医用电气设备中的应用是一个备受关注的研究领域。随着现...,魏皓 孙鹏 刘瑞瑞,《集成电路应用》,2024年01期,"关键词：数据处理 / 锂电池 / 故障检测 / 评估策略
下载（301）|被引（0）"
机器学习在智能物流研究中的应用进展与展望  CNKI文献,随着科学技术的不断发展，当今世界正掀起新一轮的产业革命。物流作为国民经济发展的基础产业和重要动脉，正面临着产业转型升级。传统的物流模式已不能满足人民日益增长的需求，物流正朝着自动化、智能化方向发展，智能物流的概念随之诞生。自动识别、人工智能、数据挖掘等技术为智能物流的发展提供了强大的驱动力[1]。其中在人工智能的研究中，学习被认为是一个关键的特征，机器学习也成为人工智能的重...,魏进 闫春雨 闫雪原,《物流科技》,2024年01期,"关键词：机器学习 / 智能物流 / 智能仓储 / 智能运输
下载（1045）|被引（2）"
基于机器学习的软件缺陷预测方法研究  CNKI文献,在数字化时代，软件已经成为企业和组织日常运营的核心。然而，软件缺陷的存在可能导致严重的业务中断和数据泄漏，从而损害组织的声誉和经济利益。本文旨在探索基于机器学习的软件缺陷预测方法，以提高软件质量，减少缺陷带来的高成本和高风险问题。 数据收集与管理 1.数据来源与获取 (1）数据来源。软件缺陷预测的数据有多个来源，最常见的数据源之一是版本控制系统，如Git或Subversion，它...,李睿宇,《网络安全和信息化》,2024年01期,"关键词：机器学习 / 缺陷预测
下载（350）|被引（2）"
新工科背景下“五融入”创新人才培养模式研究——以“机器学习”课程为例  CNKI文献,“新工科”于2016年6月由教育部首次提出，做好新工科建设是我国工程教育改革的重要方向，更是我国日后赢得国际竞争不可或缺的法宝。在中国共产党第二十次全国代表大会上，习近平总书记提出推动战略性新兴产业融合集群发展，构建新一代信息技术、人工智能等一批新的增长引擎[1]。大数据和云计算等技术不断发展，人工智能也发展迅猛，在此背景下，“机器学习”课程逐渐成了各高校人才培养方案的核心课程。推广“...,王兴梅 杨东梅 蔡成涛,《科教导刊》,2024年01期,"关键词：机器学习 / 人才培养 / 课程思政 / 校企合作
下载（204）|被引（0）"
机器学习在食品贮藏品质预测中的应用  CNKI文献,随着生活品质的提升与全民健康意识的增强，人们对食品需求量持续增大，对其品质要求不断提升[1-2]。然而，食品在生产、贮藏、流通过程中会受到多种因素的影响而导致其品质劣变，如常见的微生物腐败变质[3-4]、机械振动损伤[5-6]、蒸腾作用[7]、失水萎蔫[8]等。此外，我国仅果蔬在运输环节的年损失量就高达700亿元[2]，存在着巨大的食品浪费。因此，通过预测的手段并及时调整储运条件，从而精准调控食品...,代帅帅 吴伟杰 牛犇 房祥军 陈慧芝 陈杭君 郜海燕,《中国食品学报》,2023年12期,"关键词：食品品质 / 预测 / 机器学习 / 微生物
下载（1004）|被引（1）"
机器学习在政务服务中的应用与发展趋势  CNKI文献,机器学习的发展历程可以追溯到20世纪50年代，当时科学家们开始探索如何让计算机从数据中“学习”信息，而不依赖于预定方程模型。自那以来，机器学习技术得到了快速发展和广泛应用，涉及的领域包括图像识别、自然语言处理、推荐系统等。目前，机器学习技术的发展和应用已经深入到各个行业领域中，为人们的生活和工作带来了巨大的便利和效益。随着技术的不断进步和应用场景的不...,刘月强 王婷,《内蒙古科技与经济》,2023年24期,"关键词：机器学习 / 政务服务 / 应用场景 / 发展趋势
下载（125）|被引（0）"
积极心理学更智能：机器学习与自发生成数据集的新途径  CNKI文献,"一、引言 积极心理学(Positive Psychology, PP)以研究人类力量和美德等积极心理品质为纲领。自Seligman和Csikszentmihalyi[1]首次提出，积极心理学经过二十多年迅速发展，逐渐成为心理学领域重要分支。在心理学领域，积极心理学的代表人物已经将其建设性的观点融入到主流的心理学研究和讨论中[2],并向人文社会科学、神学、犯罪学、管理学、组织行为学以及医学[3-5...",彭凯平 童松 吴晟,《西北师大学报(社会科学版)》,2024年02期,"关键词：积极心理学 / 机器学习 / 自发生成数据集(NODS) / 计算智能
下载（1399）|被引（2）"
临床输血机器学习预测模型构建方法研究  CNKI文献,随着医疗技术和信息化的高速发展，国家质量管理平台、区域医疗中心、医疗机构的医疗系统都存储了海量的健康信息和医疗服务业务数据。在当前医疗环境下，合理高效利用医疗大数据，对于驱动智慧医疗和智慧医院建设、快速提升服务质量具有重要意义。临床输血是救治急危重症患者的重要手段，科学、安全、有效输血是保障医疗服务质量、提升临床治疗服务水平的重要部分。因此，充分挖掘临床输血医学大数据，筛选预测输血的有效特征，建立...,刘强 吴承高 熊伟 乐爱平 刘威,《中国高新科技》,2023年24期,"关键词：临床输血 / 特征选择 / 机器学习 / 预测模型
下载（113）|被引（0）"
基于机器学习的计算机网络设计与优化  CNKI文献,0 引言 在现代信息社会，计算机网络的设计与优化是确保数据传输效率和网络稳定性的关键。传统网络设计依赖网络工程师的经验和静态的规则设置，但是随着网络规模的扩大和复杂性的增加，这种方法已经难以应对快速变化的网络需求和复杂的性能优化问题。随着人工智能特别是机器学习技术的兴起，其在计算机网络领域的应用展现出巨大潜力。机器学习为网络设计和优化提供了一种动态、自适应的方法[1]。它...,修晓琴,《信息与电脑(理论版)》,2023年24期,"关键词：机器学习 / 计算机网络设计 / 网络优化
下载（77）|被引（0）"
机器学习在冲突预测方面的局限——基于对暴力预警系统的再检验与讨论  CNKI文献,一引言 暴力冲突尤其是大规模暴力冲突对任何社会都会带来灾难性后果，除阻碍经济增长外还会导致大量人员伤亡并引发难民潮。研究者通过模拟五种“共享社会经济路径（SSP）”，揭示了暴力冲突对人均国内生产总值（GDP）的影响，认为不同场景下的冲突会使全球经济的增长率下降20%—30%。(1)根据乌普萨拉冲突数据项目(UCDP)的编码，暴力冲突分为国家冲突(SB)、国内非政府力量冲突(NS)和针对平民的暴力...,刘辰辉 唐世平,《世界经济与政治》,2023年12期,"关键词：机器学习 / 冲突预测 / 社会结果 / 非洲地区冲突
下载（937）|被引（3）"
基于机器学习的中国区块链专利技术主题识别与自动分类研究  CNKI文献,区块链技术早期（2008年）作为比特币底层技术框架由中本聪提出[1]。区块链技术又称分布式共享账本技术[2]，是分布式数据存储、点对点传输、共识机制、加密算法等技术集成应用形成的颠覆性创新技术[3]。2019年10月，中共中央政治局就区块链技术发展现状和趋势进行第十八次集体学习，习近平总书记在主持学习时强调，区块链技术的集成应用在新的技术革新和产业变革中起着重要作用，要把区...,胡泽文 王梦雅 韩雅蓉,《数字图书馆论坛》,2023年12期,"关键词：LDA主题模型 / 机器学习 / 区块链 / 主题识别
下载（569）|被引（0）"
基于机器学习的散料输送自动化优化研究  CNKI文献,随着科技的不断进步，散料输送技术不断发展。智能控制技术、新型材料、物联网技术以及机器学习算法广泛应用于散料输送，使得散料输送更智能便捷，效率更高，更可靠。以机器学习算法为例，在散料输送自动化领域，深度学习和强化学习等具有广泛的应用价值[1-2]。深度学习可以用于感知环节，通过神经网络对传感器数据进行模式识别和特征提取，从而准确感知散料状态...,方波,《现代制造技术与装备》,2023年12期,"关键词：机器学习 / 散料输送 / 自动化
下载（32）|被引（0）"
结构状态识别与评估的机器学习方法研究进展  CNKI文献,"1 引言 结构健康监测通过在大型基础设施上布置传感器,现场感知、识别和诊断结构的健康状态,已经成为保障基础设施服役安全的重要途经.结构健康监测多源异构数据蕴含着丰富的结构信息,如何挖掘这些信息,进行结构的状态识别、诊断与评估是结构健康监测的核心科学问题(李惠等2015).土木工程结构规模大、尺度大、构造复杂,通过监测数据识别和评估结构状态是具有挑战的难点问题.结构状态识别与评估本质是反问题,同时...",黄永 鲍跃全 李惠,《力学进展》,2023年04期,"关键词：结构损伤识别 / 模态识别 / 安全评定 / 机器学习
下载（2432）|被引（4）"
构造机器学习项目课程的混合式教学实践  CNKI文献,0 引言 《构造机器学习项目》是我院电子信息专业人工智能方向的专业课程之一，课程教学旨在提炼并重组机器学习过程的核心知识与技术，建立机器学习相关领域的成套理论体系与技术链条，并在不断完备的学科体系中发现或创造新的机器学习项目。 开课之初，课程组借鉴了斯坦福大学吴恩达教授在Coursera平台开设的人工智能系列在线课程的教学模式，重构课程教学资源并...,张婧婧 徐金 郭钊汝 穆妮热,《电子技术》,2023年12期,"关键词：混合式教学 / 案例教学 / 机器学习 / 定等分级模型
下载（69）|被引（1）"
机器学习在生态环境损害鉴定评估领域的应用前景  CNKI文献,随着生态环境损害赔偿制度与环境公益诉讼制度的相继建立，我国进入生态环境损害鉴定评估工作高速发展时代，各地区发生的生态环境损害类案件不断增多，其鉴定评估工作成为环境司法审判的热点及难点问题。近几年，随着Chat GPT的横空出世，越来越多研究学者开始关注机器学习在各领域中的应用前景。机器学习在数据挖掘、图像处理、文本处理领域的应用可以在生态环境损害鉴定评估工作中的各个环节中发...,武子豪 吴礼滨 洪伟 丁泽聪 易皓 张晓园 曾子龙 崔恺,《农业环境科学学报》,2023年12期,"关键词：生态环境损害鉴定评估 / 机器学习 / 图像识别 / 自然语言处理
下载（340）|被引（2）"
基于机器学习的软件质量预测技术综述  CNKI文献,0 引言 在软件发布之前，软件质量验证过程被认为是一个非常重要的过程，软件质量是指软件在特定工作环境中的性能表现，同时考虑到故障时所需维护的时间、工作量和成本，质量评价有两个维度：一是内在品质，二是外在品质。内部质量反映了软件产品的质量，包括从需求规范到设计生命周期的质量[1]。 [1] 软件质量预测是软件开发人员通过对软件的需求和功能预测，将开发的软件和服务进行标准化处理和管理，进而形成稳...,姚日煌 高海洋 周聪 洪智学,《电子产品可靠性与环境试验》,2023年06期,"关键词：软件工程 / 软件质量 / 机器学习 / 软件质量预测
下载（274）|被引（0）"
机器学习在食品工业中的应用  CNKI文献,随着人口增长以及人们对健康食品的需求日益增加，食品加工中的质量安全问题越来越受到重视。食品加工是指将天然的动、植物等原料加工为食品，或将一种形式的食品加工为更适合现代人饮食习惯的其它形式的食品。据联合国粮食及农业组织（FAO）的数据显示，到2050年，全球人口可能增长到91亿左右[1]。为了满足日益增长的人口对多种食品的需求，将新型的技术应用于食品领域的研究必不可少。 [1] 使用人工智能~#...,姚仁朋 孙玉敬 赵圆 孟瑞锋,《中国食品学报》,2024年01期,"关键词：机器学习 / 神经网络 / 食品工业 / 食品分级
下载（2160）|被引（5）"
机器学习辅助金属材料力学性能预测  CNKI文献,0 引言 金属在人类日常生活中扮演着不可或缺的角色，贯穿着人们的衣食住行各个方面。随着社会的进步和科学技术的发展，人们对金属的需求不再仅仅是单纯的实用性要求，而是对性能卓越、具有广阔应用前景的多功能复合合金的追求[1-3]。传统基于经验的“试错法”进行多功能复合合金研发，其所需的时间和成本庞大，而且实验结果也并不能完全达到预期目标[4]。因此，需要探索一种新的方法，以加速多功能复合合金的研发。以...,程洪 葛美伶 司天宇 张欢 何忠平,《材料研究与应用》,2023年06期,"关键词：金属材料 / 机器学习 / 性能预测 / 合金设计
下载（991）|被引（1）"
面向开放环境的机器学习理论研究进展  CNKI文献,机器学习是人工智能领域的重要分支，其理论和方法是解决人工智能问题的关键基础之一.近年来在大数据、云计算、硬件加速等新方法新技术以及经济社会发展重大需求的共同驱动下，机器学习研究发展进入新阶段.尤其是迅速发展的深度学习、强化学习等方法，在计算机视觉、语音识别、自然语言处理、博弈决策等智能感知和决策问题上都展现出超过传统方法的性能，甚至超过人类水平[1]...,袁晓彤 张煦尧 刘希 程真 刘成林,《模式识别与人工智能》,2023年12期,"关键词：机器学习 / 开放环境 / 泛化理论 / 优化理论
下载（373）|被引（2）"
机器学习使用作品的著作权风险与化解的法律路径  CNKI文献,一、机器学习使用作品的著作权风险分析 在机器学习中，传统的预先规划操作流程被一种自主学习的机制替代，使得机器能够从数据中自主学习和提取模式、规律和知识。与传统的计算机学习不同，机器学习更加灵活和自主，不再需要人工干预来确定学习对象和特征，而是通过算法进行自动的特征选择和模型构建。(1)机器学习@...,陈诺 杨兴,《南海法学》,2023年06期,"关键词：机器学习 / 著作权 / 合理使用
下载（440）|被引（0）"
机器学习在肾结石诊断与成分分析中的应用综述  CNKI文献,0 引言 肾结石是一种常见的泌尿系统疾病，患者会出现尿频、尿急、尿痛等症状。在我国成年人肾结石发病率中，男性约6.5%，女性约5.1%[1]，且目前肾结石的发病率仍有着升高的趋势[2]。肾结石形成机制尚未完全阐明。近年来，人工智能得到各大学者的热切关注，机器学习是人工智能的子领域，允许计算机在没有明确编程的情况下从数据中学习并找出相关的模式，并利用这些模式进行疾病的预测和...,杨伟明 陈光耀,《医疗卫生装备》,2023年12期,"关键词：机器学习 / 肾结石 / 危险因素 / 早期诊断
下载（136）|被引（0）"
机器学习在中药提取工序中的应用  CNKI文献,1 引 言 随着中医药“走出去”步入快车道发展，我国对中药生产制造提出了更高的要求。《“十四五”中医药发展规划》中指出：提升中药产业发展水平需要加快中药制造业数字化、网络化、智能化建设，加强技术集成和工艺创新，提升中药装备制造水平，加速中药生产工艺、流程的标准化和现代化[1]。然而，由于我国在中药生产现代化研究方面起步较晚，整体现代化水平较低，导致我国中药在国际市场的竞争力较弱，以2021年我...,蔡馨燕 陈忠鑫,《山东师范大学学报(自然科学版)》,2023年04期,"关键词：机器学习 / 中药 / 提取工序 / 生产过程理解
下载（214）|被引（1）"
机器学习与知识图谱在藏医药领域的应用研究  CNKI文献,随着人们进一步开发人工智能技术。医疗领域机器学习技术的应用日益受到重视。被广泛应用于医疗数据分析、诊断决策、疾病预测等多个领域。在医疗数据分析方面，机器学习技术可以从大数据中提取出有用信息，可以有效地实现分类、聚类、连续量推断等功能。在诊断决策方面，机器学习技术可以支持医疗决策的客观性和准确性，有助于提高历史诊疗数据的价值和从数据中获取准确有效的推断信息。在疾病...,普布玉珍 高屹,《西藏科技》,2023年12期,"关键词：机器学习 / 知识图谱 / 藏医药 / 数据挖掘
下载（294）|被引（1）"
机器学习在老年人跌倒预测和监测中应用的系统评价  CNKI文献,在中国，跌倒已成为≥65岁老年人非故意伤害死亡的首位原因[1]。2018年全国疾病监测系统死因监测结果[2]显示，我国≥65岁老年人跌倒的死亡率为63.83/10万，占该年龄人群全部伤害死因的39.72%。研究[3]显示，风险评估及监测是预防跌倒的关键，但目前跌倒风险监测系统的开发仍处在初始阶段。跌倒是年龄、健康状态、下肢力量、心理因素、药物应用等多因素、多层次之间的交互作用结果，各因素之间相互影...,罗园 张华 张孟喜 邓雨茜 冉海烨 刘佳欣 赵丽萍,《中华护理教育》,2023年12期,"关键词：机器学习 / 跌倒 / 老年人 / 系统评价
下载（855）|被引（0）"
